Version,Year,Month,Bus.Unit,Node,Variance,Idle_Cap,Email,Report
V001,2016,M01,BU01,RP_6100,2%,0%,info@altavia.com,
V001,2016,M01,BU01,RP_6200,4%,2%,info@altavia.com,
V001,2016,M01,BU01,RP_6300,8%,6%,info@altavia.com,
V001,2016,M01,BU01,BP_6300A,5%,0%,info@altavia.com,
V001,2016,M01,BU01,BP_6300B,11%,0%,info@altavia.com,
V001,2016,M01,BU01,RP_6400,10%,8%,info@altavia.com,
V001,2016,M01,BU01,RP_7300,0%,12%,info@altavia.com,
V001,2016,M01,BU01,RP_7400,6%,4%,info@altavia.com,
V001,2016,M01,BU01,RP_7500,20%,16%,info@altavia.com,
V001,2016,M01,BU01,RP_8100,0%,20%,info@altavia.com,
V001,2016,M01,BU01,RP_8200,2%,2%,info@altavia.com,
V001,2016,M01,BU01,RP_8300,6%,4%,info@altavia.com,
V001,2016,M01,BU01,RP_8400,8%,8%,info@altavia.com,
V001,2016,M01,BU01,FP_10000,12%,10%,info@altavia.com,
V001,2016,M01,BU02,RP_2100,4%,0%,info@altavia.com,
V001,2016,M01,BU02,RP_2200,16%,6%,info@altavia.com,
V001,2016,M01,BU02,RP_2300,20%,20%,info@altavia.com,
V001,2016,M01,BU02,BP_2300A,2%,0%,info@altavia.com,
V001,2016,M01,BU02,BP_2300B,12%,0%,info@altavia.com,
V001,2016,M01,BU02,RP_2400,9%,0%,info@altavia.com,
V001,2016,M01,BU02,RP_3300,7%,0%,info@altavia.com,
V001,2016,M01,BU02,RP_3400,1%,0%,info@altavia.com,
V001,2016,M01,BU02,RP_3500,11%,2%,info@altavia.com,
V001,2016,M01,BU02,RP_4100,5%,6%,info@altavia.com,
V001,2016,M01,BU02,RP_4200,3%,8%,info@altavia.com,
V001,2016,M01,BU02,RP_4300,0%,12%,info@altavia.com,
V001,2016,M01,BU02,RP_4400,17%,4%,info@altavia.com,
V001,2016,M01,BU02,FP_10009,12%,16%,info@altavia.com,
